epoch,accuracy,loss,val_accuracy,val_loss
0,0.8403541445732117,1.0997810363769531,0.9383333325386047,0.2503472864627838
1,0.9113333225250244,0.3163358271121979,0.9494166374206543,0.1961716264486313
2,0.9362499713897705,0.22551508247852325,0.9615833163261414,0.16594499349594116
3,0.9466666579246521,0.18804264068603516,0.9636666774749756,0.14279353618621826
4,0.9517083168029785,0.16191227734088898,0.9652500152587891,0.14306969940662384
5,0.9580625295639038,0.1406342089176178,0.9707499742507935,0.12757162749767303
6,0.9603333473205566,0.1404690146446228,0.968500018119812,0.1381930410861969
7,0.9647291898727417,0.1234082356095314,0.9692500233650208,0.14703716337680817
8,0.9640833139419556,0.12350451946258545,0.9710000157356262,0.12464860081672668
9,0.9690208435058594,0.10727736353874207,0.9746666550636292,0.11192826181650162
10,0.9715625047683716,0.09677688777446747,0.9733333587646484,0.11819636821746826
11,0.9719791412353516,0.0977994054555893,0.9712499976158142,0.1458355337381363
12,0.9731458425521851,0.09677031636238098,0.9747499823570251,0.12738078832626343
13,0.9752291440963745,0.0882379487156868,0.9742500185966492,0.1438560038805008
14,0.9758958220481873,0.08624972403049469,0.9710833430290222,0.15203361213207245
15,0.9767083525657654,0.08636543899774551,0.9775833487510681,0.13239991664886475
16,0.9770833253860474,0.08799497783184052,0.9769999980926514,0.13737446069717407
17,0.9757916927337646,0.08986716717481613,0.9729166626930237,0.19770707190036774
18,0.9791458249092102,0.07719249278306961,0.9765833616256714,0.1430014967918396
19,0.979604184627533,0.07569010555744171,0.9735000133514404,0.18194930255413055
